ticker;Date;Investments;Change To Liabilities;Total Cashflows From Investing Activities;Net Borrowings;Total Cash From Financing Activities;Issuance Of Stock;Net Income;Change In Cash;Effect Of Exchange Rate;Total Cash From Operating Activities;Depreciation;Other Cashflows From Investing Activities;Change To Inventory;Change To Account Receivables;Other Cashflows From Financing Activities;Change To Netincome;Capital Expenditures;Change To Operating Activities;Repurchase Of Stock;Dividends Paid
MED.SW;31122020;-97951780;-50719380;-228584330;-39612590;-47324490;55240;-9435650;-168371770;-18590620;126127670;131379090;10;-23967180;54512890;-7767140;14127580;-105110750;;;
MED.SW;31122019;485590;47977130;-193562170;-47143650;-55991900;19040;21465210;-166906010;-7359400;90007460;121705670;10;-92074590;-79729610;-8867290;62481560;-149713090;;;
MED.SW;31122018;-847260;29332870;-143813310;-122260840;1228137980;1426489630;42019070;1142892860;-5926460;64494640;76435370;-10;-29225390;-39219440;-76090810;-21924030;-123535110;;;
MED.SW;31122017;7801490;20766480;-166282210;57690520;57690520;1426489630;8665210;2161030;622790;110129940;66861430;-10;-36735080;-6699260;-76090810;51578060;-78692210;;;
SAP.DE;31122020;-18000000000;4210000000;-29860000000;-6760000000;-39970000000;;51450000000;-40000000;-2140000000;71940000000;15320000000;10000000;;8210000000;350000000;-4410000000;-8160000000;-5830000000;-14920000000;-18640000000
SAP.DE;31122019;-1220000000;13120000000;-70210000000;19100000000;1020000000;;33210000000;-33130000000;1100000000;34960000000;15070000000;10000000;;-14690000000;-180000000;-9710000000;-8170000000;-5690000000;-14920000000;-17900000000
SAP.DE;31122018;4750000000;-3210000000;-30660000000;49610000000;32830000000;;40830000000;46170000000;970000000;43030000000;13620000000;10000000;;1360000000;-70000000;-4130000000;-14580000000;-5440000000;-14920000000;-16710000000
SAP.DE;31122017;3580000000;7810000000;-11120000000;-13640000000;-34060000000;;40080000000;3090000000;-2180000000;50450000000;12720000000;-10000000;;-3090000000;-430000000;-3500000000;-12750000000;-3570000000;-5000000000;-14990000000
EVT.DE;31122020;-388460000;-124530000;-1550890000;-51550000;2464090000;2515640000;62520000;1455460000;95050000;447210000;533310000;;-36310000;-41780000;;192850000;-990720000;-320980000;;
EVT.DE;31122019;-142830000;-167130000;-866340000;2093620000;2112630000;19010000;380720000;1679790000;11340000;422160000;471150000;;-13640000;-324750000;;241240000;-313220000;-305820000;;
EVT.DE;31122018;-271880000;724160000;-391300000;-793420000;-777640000;15780000;841720000;420380000;26920000;1562400000;298060000;;-2830000;-18510000;;-311520000;-278670000;-47990000;;
EVT.DE;31122017;-40540000;-184230000;-2690330000;1483680000;2407240000;923560000;234760000;-169230000;5580000;108280000;195220000;;12280000;-78750000;;15000000;-172280000;-126210000;;
SANT.DE;31122020;-35890000;-24550000;-771820000;-408820000;-657770000;13850000;556090000;-102140000;-80670000;1408120000;419010000;5130000;85700000;414320000;-140890000;40510000;-339200000;-256880000;-121910000;
SANT.DE;31122019;-42880000;-299960000;-557220000;1280820000;837630000;210000;491090000;1125720000;11420000;833890000;342410000;5650000;-14380000;497120000;-191190000;-2900000;-271030000;-336510000;-146470000;-105740000
SANT.DE;31122018;-1650000;20550000;-631380000;11730000;-208990000;21570000;449830000;-481760000;3180000;355430000;140480000;6580000;-41170000;-230630000;-159280000;99650000;-251070000;-233190000;-146470000;-83010000
