,ticker,Date,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Change To Operating Activities,Repurchase Of Stock,Dividends Paid
2020-12-31,MED.SW,2020-12-31,-9795178.0,-5071938.0,-22858433.0,-3961259.0,-4732449.0,5524.0,-943565.0,-16837177.0,-1859062.0,12612767.0,13137909.0,1.0,-2396718.0,5451289.0,-776714.0,1412758.0,-10511075.0,,,
2019-12-31,MED.SW,2019-12-31,48559.0,4797713.0,-19356217.0,-4714365.0,-5599190.0,1904.0,2146521.0,-16690601.0,-735940.0,9000746.0,12170567.0,1.0,-9207459.0,-7972961.0,-886729.0,6248156.0,-14971309.0,,,
2018-12-31,MED.SW,2018-12-31,-84726.0,2933287.0,-14381331.0,-12226084.0,122813798.0,142648963.0,4201907.0,114289286.0,-592646.0,6449464.0,7643537.0,-1.0,-2922539.0,-3921944.0,-7609081.0,-2192403.0,-12353511.0,,,
2017-12-31,MED.SW,2017-12-31,780149.0,2076648.0,-16628221.0,5769052.0,5769052.0,142648963.0,866521.0,216103.0,62279.0,11012994.0,6686143.0,-1.0,-3673508.0,-669926.0,-7609081.0,5157806.0,-7869221.0,,,
2020-12-31,SAP.DE,2020-12-31,-1800000000.0,421000000.0,-2986000000.0,-676000000.0,-3997000000.0,,5145000000.0,-4000000.0,-214000000.0,7194000000.0,1532000000.0,1000000.0,,821000000.0,35000000.0,-441000000.0,-816000000.0,-583000000.0,-1492000000.0,-1864000000.0
2019-12-31,SAP.DE,2019-12-31,-122000000.0,1312000000.0,-7021000000.0,1910000000.0,102000000.0,,3321000000.0,-3313000000.0,110000000.0,3496000000.0,1507000000.0,1000000.0,,-1469000000.0,-18000000.0,-971000000.0,-817000000.0,-569000000.0,-1492000000.0,-1790000000.0
2018-12-31,SAP.DE,2018-12-31,475000000.0,-321000000.0,-3066000000.0,4961000000.0,3283000000.0,,4083000000.0,4617000000.0,97000000.0,4303000000.0,1362000000.0,1000000.0,,136000000.0,-7000000.0,-413000000.0,-1458000000.0,-544000000.0,-1492000000.0,-1671000000.0
2017-12-31,SAP.DE,2017-12-31,358000000.0,781000000.0,-1112000000.0,-1364000000.0,-3406000000.0,,4008000000.0,309000000.0,-218000000.0,5045000000.0,1272000000.0,-1000000.0,,-309000000.0,-43000000.0,-350000000.0,-1275000000.0,-357000000.0,-500000000.0,-1499000000.0
2020-12-31,EVT.DE,2020-12-31,-38846000.0,-12453000.0,-155089000.0,-5155000.0,246409000.0,251564000.0,6252000.0,145546000.0,9505000.0,44721000.0,53331000.0,,-3631000.0,-4178000.0,,19285000.0,-99072000.0,-32098000.0,,
2019-12-31,EVT.DE,2019-12-31,-14283000.0,-16713000.0,-86634000.0,209362000.0,211263000.0,1901000.0,38072000.0,167979000.0,1134000.0,42216000.0,47115000.0,,-1364000.0,-32475000.0,,24124000.0,-31322000.0,-30582000.0,,
2018-12-31,EVT.DE,2018-12-31,-27188000.0,72416000.0,-39130000.0,-79342000.0,-77764000.0,1578000.0,84172000.0,42038000.0,2692000.0,156240000.0,29806000.0,,-283000.0,-1851000.0,,-31152000.0,-27867000.0,-4799000.0,,
2017-12-31,EVT.DE,2017-12-31,-4054000.0,-18423000.0,-269033000.0,148368000.0,240724000.0,92356000.0,23476000.0,-16923000.0,558000.0,10828000.0,19522000.0,,1228000.0,-7875000.0,,1500000.0,-17228000.0,-12621000.0,,
2020-12-31,SANT.DE,2020-12-31,-3589000.0,-2455000.0,-77182000.0,-40882000.0,-65777000.0,1385000.0,55609000.0,-10214000.0,-8067000.0,140812000.0,41901000.0,513000.0,8570000.0,41432000.0,-14089000.0,4051000.0,-33920000.0,-25688000.0,-12191000.0,
