,ticker,Date,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Change To Operating Activities
2020-12-31,MMM,2020-12-31,232000000.0,252000000.0,-580000000.0,-1875000000.0,-5300000000.0,429000000.0,5384000000.0,2281000000.0,-368000000.0,48000000.0,8113000000.0,1911000000.0,10000000.0,-3388000000.0,-91000000.0,165000000.0,-98000000.0,360000000.0,-1501000000.0,
2019-12-31,MMM,2019-12-31,-192000000.0,-117000000.0,-6444000000.0,3249000000.0,-1124000000.0,547000000.0,4570000000.0,-500000000.0,-1407000000.0,-2000000.0,7070000000.0,1593000000.0,72000000.0,-3316000000.0,370000000.0,345000000.0,-197000000.0,104000000.0,-1699000000.0,
2018-12-31,MMM,2018-12-31,669000000.0,408000000.0,222000000.0,933000000.0,-6701000000.0,485000000.0,5349000000.0,-200000000.0,-4870000000.0,-160000000.0,6439000000.0,1488000000.0,9000000.0,-3193000000.0,-509000000.0,-305000000.0,-56000000.0,-126000000.0,-1577000000.0,
2017-12-31,MMM,2017-12-31,-798000000.0,24000000.0,-3086000000.0,1603000000.0,-2655000000.0,734000000.0,4858000000.0,655000000.0,-2068000000.0,156000000.0,6240000000.0,1337000000.0,-6000000.0,-2803000000.0,-387000000.0,-245000000.0,-121000000.0,-314000000.0,-1373000000.0,
2020-12-31,AOS,2020-12-31,68600000.0,85600000.0,11800000.0,-170800000.0,-374800000.0,11400000.0,344900000.0,199100000.0,-56700000.0,,562100000.0,80000000.0,,-158700000.0,2900000.0,4500000.0,,12700000.0,-56800000.0,28100000.0
2019-12-31,AOS,2019-12-31,205300000.0,-35400000.0,33900000.0,62600000.0,-375800000.0,11400000.0,370000000.0,114300000.0,-287700000.0,,456200000.0,78300000.0,,-149200000.0,6300000.0,62400000.0,-1500000.0,13300000.0,-64400000.0,-28600000.0
2018-12-31,AOS,2018-12-31,72500000.0,8800000.0,-12700000.0,-189000000.0,-523100000.0,900000.0,444200000.0,-86900000.0,-202600000.0,,448900000.0,71900000.0,,-130100000.0,-7700000.0,-54600000.0,-2300000.0,10100000.0,-85200000.0,-30800000.0
2017-12-31,AOS,2017-12-31,-20800000.0,-5100000.0,-158100000.0,86500000.0,-152100000.0,900000.0,296500000.0,16200000.0,-139100000.0,,326400000.0,70100000.0,,-96900000.0,-37500000.0,-75800000.0,-2600000.0,91700000.0,-94200000.0,-900000.0
2020-12-31,ABT,2020-12-31,-73000000.0,1766000000.0,-2215000000.0,-50000000.0,-2779000000.0,245000000.0,4495000000.0,2978000000.0,-403000000.0,71000000.0,7901000000.0,3327000000.0,19000000.0,-2560000000.0,-493000000.0,-924000000.0,-11000000.0,971000000.0,-2177000000.0,-627000000.0
2019-12-31,ABT,2019-12-31,-82000000.0,220000000.0,-1815000000.0,-1599000000.0,-4289000000.0,298000000.0,3687000000.0,16000000.0,-718000000.0,-16000000.0,6136000000.0,3014000000.0,27000000.0,-2270000000.0,-593000000.0,-275000000.0,-11000000.0,766000000.0,-1638000000.0,-138000000.0
