ticker;Date;Research Development;Effect Of Accounting Charges;Income Before Tax;Minority Interest;Net Income;Selling General Administrative;Gross Profit;Ebit;Operating Income;Other Operating Expenses;Interest Expense;Extraordinary Items;Non Recurring;Other Items;Income Tax Expense;Total Revenue;Total Operating Expenses;Cost Of Revenue;Total Other Income Expense Net;Discontinued Operations;Net Income From Continuing Ops;Net Income Applicable To Common Shares
MED.SW;31.12.2020;161726710;;-32641770;;-9435650;836010490;1035062910;37325710;37325710;;-7767140;;;;-23206120;1246570660;1209244950;211507750;-69967480;;-9435650;-9435650
MED.SW;31.12.2019;145458110;;33190480;;21465210;893663150;1112669300;73548040;73548040;;-8867300;;;;11725270;1301439370;1227891330;188770070;-40357560;;21465210;21465210
MED.SW;31.12.2018;132276110;;23691120;;42019070;817272550;1010118320;60569660;60569660;;-5336700;;;;-18327950;1213247030;1152677370;203128710;-36878540;;42019070;42019070
MED.SW;31.12.2017;113638060;;80489340;;8665210;665943680;875650810;96069070;96069070;;-7240740;;;;71824130;1050402920;954333850;174752110;-15579730;;8665210;8665210
SAP.DE;31.12.2020;44540000000;;72210000000;2110000000;51450000000;84620000000;1,9453E+11;64270000000;64270000000;1100000000;-2550000000;;;;19380000000;2,7338E+11;2,0911E+11;78850000000;7940000000;;52830000000;51450000000
SAP.DE;31.12.2019;42920000000;;45970000000;760000000;33210000000;93220000000;1,9198E+11;56020000000;56020000000;-180000000;-3620000000;;;;12260000000;2,7553E+11;2,1951E+11;83550000000;-10050000000;;33710000000;33210000000
SAP.DE;31.12.2018;36240000000;;56000000000;450000000;40830000000;78790000000;1,7245E+11;57220000000;57220000000;200000000;-3120000000;;;;15110000000;2,4707E+11;1,8985E+11;74620000000;-1220000000;;40890000000;40830000000
SAP.DE;31.12.2017;33520000000;;50290000000;310000000;40080000000;79990000000;1,6409E+11;50590000000;50590000000;-10000000;-2050000000;;;;9830000000;2,3461E+11;1,8402E+11;70520000000;-300000000;;40460000000;40080000000
EVT.DE;31.12.2020;639450000;;258070000;;62520000;768380000;1257430000;510110000;510110000;-660510000;-84650000;;;;195550000;5009240000;4499130000;3751810000;-252040000;;62520000;62520000
EVT.DE;31.12.2019;584320000;;565620000;;380720000;657590000;1328910000;752640000;752640000;-665640000;-74560000;;;;193340000;4464370000;3711730000;3135460000;-187020000;;372280000;380720000
EVT.DE;31.12.2018;356190000;;719990000;8760000;841720000;570120000;1120160000;642350000;642350000;-448500000;-25910000;;;;-120570000;3754050000;3111700000;2633890000;77640000;;840560000;841720000
EVT.DE;31.12.2017;176140000;;255650000;9920000;234760000;423830000;818000000;365870000;365870000;-147840000;-12610000;;;;23470000;2637650000;2271780000;1819650000;-110220000;;232180000;234760000
SANT.DE;31.12.2020;;;606880000;54320000;556090000;2811770000;4733590000;634820000;634820000;694070000;-92560000;;;;60650000;12724060000;12089240000;7990470000;-27940000;;546230000;556090000
SANT.DE;31.12.2019;;;540640000;123630000;491090000;2552790000;4230420000;558970000;558970000;619230000;-90100000;;;;45520000;11384130000;10825160000;7153710000;-18330000;;495120000;491090000
SANT.DE;31.12.2018;;;563440000;113060000;449830000;2142160000;3616570000;543680000;543680000;640340000;-61610000;;;;78810000;10059920000;9516240000;6443350000;19760000;;484630000;449830000
SANT.DE;31.12.2017;;;353830000;267450000;225070000;2008750000;3283280000;335170000;335170000;676230000;-69160000;;;;60130000;8953280000;8618110000;5670000000;18660000;;293700000;225070000
AAG.DE;31.12.2020;;;-208050000;;-183270000;696930000;638510000;-199510000;-199510000;79670000;-9850000;;;;-24780000;1758670000;1958180000;1120160000;-8540000;;-183270000;-183270000
AAG.DE;31.12.2019;;;152480000;;109940000;761390000;1046310000;154650000;154650000;80510000;-10350000;;;;42540000;2636020000;2481370000;1589710000;-2170000;;109940000;109940000
