,ticker,Date,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
2020-12-31,MMM,2020-12-31,1862000000.0,,6706000000.0,64000000.0,5384000000.0,6751000000.0,15685000000.0,7072000000.0,7072000000.0,,-529000000.0,,,,1318000000.0,32184000000.0,25112000000.0,16499000000.0,-366000000.0,,5388000000.0,5384000000.0
2019-12-31,MMM,2019-12-31,1874000000.0,,5712000000.0,63000000.0,4570000000.0,6390000000.0,15400000000.0,7136000000.0,7136000000.0,,-448000000.0,,,,1130000000.0,32136000000.0,25000000000.0,16736000000.0,-1424000000.0,,4582000000.0,4570000000.0
2018-12-31,MMM,2018-12-31,1816000000.0,,7000000000.0,52000000.0,5349000000.0,6527000000.0,16110000000.0,7767000000.0,7767000000.0,,-350000000.0,,,,1637000000.0,32765000000.0,24998000000.0,16655000000.0,-767000000.0,,5363000000.0,5349000000.0
2017-12-31,MMM,2017-12-31,1862000000.0,,7548000000.0,59000000.0,4858000000.0,6493000000.0,15688000000.0,7333000000.0,7333000000.0,,-322000000.0,,,,2679000000.0,31657000000.0,24324000000.0,15969000000.0,215000000.0,,4869000000.0,4858000000.0
2020-12-31,AOS,2020-12-31,,,443900000.0,,344900000.0,666800000.0,1108200000.0,441400000.0,441400000.0,,-7300000.0,,,,99000000.0,2895300000.0,2453900000.0,1787100000.0,2500000.0,,344900000.0,344900000.0
2019-12-31,AOS,2019-12-31,,,472100000.0,,370000000.0,721000000.0,1180700000.0,459700000.0,459700000.0,,-11000000.0,,,,102100000.0,2992700000.0,2533000000.0,1812000000.0,12400000.0,,370000000.0,370000000.0
2018-12-31,AOS,2018-12-31,,,557800000.0,,444200000.0,755200000.0,1305500000.0,550300000.0,550300000.0,,-8400000.0,,,,113600000.0,3187900000.0,2637600000.0,1882400000.0,7500000.0,,444200000.0,444200000.0
2017-12-31,AOS,2017-12-31,,,520800000.0,,296500000.0,723700000.0,1232400000.0,508700000.0,508700000.0,,-10100000.0,,,,224300000.0,2996700000.0,2488000000.0,1764300000.0,12100000.0,,296500000.0,296500000.0
2020-12-31,ABT,2020-12-31,2363000000.0,,4968000000.0,219000000.0,4495000000.0,9563000000.0,19611000000.0,5553000000.0,5553000000.0,,-546000000.0,,,,497000000.0,34608000000.0,29055000000.0,14997000000.0,-585000000.0,24000000.0,4471000000.0,4473000000.0
2019-12-31,ABT,2019-12-31,2412000000.0,,4077000000.0,213000000.0,3687000000.0,9518000000.0,18689000000.0,4823000000.0,4823000000.0,,-670000000.0,,,,390000000.0,31904000000.0,27081000000.0,13215000000.0,-746000000.0,24000000.0,3687000000.0,3666000000.0
2018-12-31,ABT,2018-12-31,2298000000.0,,2873000000.0,198000000.0,2368000000.0,9568000000.0,17882000000.0,3838000000.0,3838000000.0,,-826000000.0,,,,539000000.0,30578000000.0,26740000000.0,12696000000.0,-965000000.0,34000000.0,2334000000.0,2353000000.0
